filename,year,duration_sec,bpm,key_root,key_mode,key,rms_energy,spectral_centroid,spectral_rolloff,spectral_contrast,spectral_bandwidth,zero_crossing_rate,harmonic_ratio,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B,lyrical_sentiment,lyrical_sentiment_label,views,yt_video_title,yt_url,theme_loneliness,theme_regret,theme_escapism,theme_dreams_and_fantasy,theme_identity_and_self,theme_love_and_attachment,theme_anxiety_and_dread,theme_defiance_and_rebellion,theme_melancholy_and_resignation,theme_hope_and_yearning,theme_nostalgia_and_memory,theme_alienation_and_disconnect,emotion_sadness,emotion_anger,emotion_fear,emotion_joy,emotion_tenderness,emotion_bitterness,emotion_longing,emotion_numbness,primary_theme,secondary_theme,primary_emotion,tempo_stability,dynamic_range_db,energy_start,energy_mid,energy_end,spectral_flatness,onset_rate,onset_strength_mean,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,yt_like_count,yt_comment_count,yt_upload_date,yt_duration_sec,yt_channel,release_year,release_month,release_season,days_since_release,views_per_day,like_ratio,comment_ratio,energy_buildup,key_numeric,key_mode_numeric,artist_canonical,artist.1,Zuttomayo,artist_yorushika,artist_eve,artist_natori
Blush.mp3,2022,257.8,107.67,C,major,C major,0.2983663380146026,2412.798547919981,5027.646079342999,22.058728067208303,2507.046019982177,0.1158858564408268,0.6730183098874004,-8.657979012,73.28878021240234,87.63251495361328,27.80080223083496,-10.93831539,19.49960708618164,21.35486412,15.885003089904783,6.269016742706299,10.40338134765625,6.950448513031006,11.40613842010498,4.587670326,8.861051559448242,1.6637736558914185,9.288214683532717,-0.596874952,8.752299308776855,-1.996027112,7.828021049499512,-0.929894745,8.225457191467285,-0.826544106,8.336560249328613,-1.728354692,9.107346534729004,0.6364202499389648,0.4915557503700256,0.6301743984222412,0.4255898296833038,0.5142860412597656,0.5983610153198242,0.4591833651065826,0.5660067200660706,0.4449596703052521,0.5754225254058838,0.4632211625576019,0.3883677124977112,-0.4431,negative,6350122,ずっと真夜中でいいのに。『消えてしまいそうです』MV  (ZUTOMAYO - Blush),https://www.youtube.com/watch?v=OxcnK1s2Fww,0.7870527505874634,0.4827948808670044,0.7232117652893066,0.2486367672681808,0.6543979644775391,0.153453991,0.4065085053443908,0.584449053,0.4782851636409759,0.3401015400886535,0.527438223,0.780202329,0.4344013333320617,0.349976897,0.4484866857528686,0.3079105317592621,0.2746309340000152,0.260936439,0.3643816709518432,0.6186652779579163,loneliness,alienation_and_disconnect,numbness,0.0183,12.85,0.2884639501571655,0.3184399306774139,0.2881951332092285,0.026872631,3.1,1.3576,0.081298656,0.1416458454848687,-0.081707002,-0.005010338,-0.010205003,0.005272306,74912,1400,20220908,263,ずっと真夜中でいいのに。 ZUTOMAYO,2022,9,3,1332,4767.4,0.011797,0.00022,0.999,0,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
Hanaichi Monnme.mp3,2023,250.61,129.2,F,major,F major,0.3079112768173218,2589.330710322907,5450.565608280642,21.88623417945076,2596.2494171588583,0.1310795403551741,0.6031105083645228,5.016102791,89.37453461,79.86071777,25.831323623657227,-6.722551346,16.784469604492188,23.320581436157227,15.458889961242676,5.034069538116455,9.979952812194824,8.789637565612793,9.36208725,2.9687094688415527,8.371290207,-1.786188006,8.728167533874512,-0.215682745,8.120199203491211,-0.191362739,7.297235012054443,-3.672246218,8.037630081176758,-1.36066103,7.461086750030518,-1.663086176,7.909117221832275,0.6629661321640015,0.5195339918136597,0.607529879,0.4579919874668121,0.5663390755653381,0.6550516486167908,0.4850285649299621,0.6158369779586792,0.5707952976226807,0.625222921,0.5381991267204285,0.4586803317070007,-0.0503,negative,9293054,ずっと真夜中でいいのに。『花一匁』MV (ZUTOMAYO – Hanaichi Monnme),https://www.youtube.com/watch?v=H88kps8X4Mk,0.5332759022712708,0.7007924914360046,0.6123096942901611,0.5172051191329956,0.6902459859848022,0.1636374741792678,0.5827285647392273,0.541408896,0.6476589441299438,0.6738895773887634,0.5791624188423157,0.7017130851745605,0.7877475619316101,0.5855159759521484,0.5367985963821411,0.281362385,0.4153138101100921,0.4099883437156677,0.589716375,0.5414695143699646,alienation_and_disconnect,regret,sadness,0.0173,10.91,0.2894127666950226,0.3125861883163452,0.3217348754405975,0.038666777,3.53,1.3539,0.057119581,0.1265044734947321,-0.062119194,0.032781913,-0.004674455,0.000816691,91192,2200,20230604,251,ずっと真夜中でいいのに。 ZUTOMAYO,2023,6,2,1063,8742.3,0.009813,0.000237,1.112,5,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
Haze Haseru Haterumade.mp3,2019,244.71,136,G,minor,G minor,0.3020408153533935,2492.681472388805,5323.129791077337,22.42245067411984,2615.607275357493,0.1113132991151912,0.628473542,-28.7233963,94.81228637695312,79.26097106933594,28.299877166748047,3.054333448410034,18.302919387817383,28.402523040771484,14.967026710510254,10.718602180480955,10.73164176940918,7.035770416259766,12.609285354614258,5.740565776824951,9.690117835998535,0.9453417658805848,10.628761291503906,0.3967251479625702,8.759046555,-2.458627939,8.785272598266602,-6.619740486,8.820782661437988,2.1693332195281982,9.484523773,-4.180618763,9.321079254,0.504243791,0.4253217875957489,0.5977752804756165,0.5303328037261963,0.4682232141494751,0.5635486245155334,0.551779568,0.6746529936790466,0.592106819,0.6076231598854065,0.6955395340919495,0.4687149226665497,-0.4722,negative,24961638,ずっと真夜中でいいのに。『ハゼ馳せる果てるまで』MV,https://www.youtube.com/watch?v=ElnxZtiBDvs,0.9354645013809204,0.5956101417541504,0.8939013481140137,0.2858202755451202,0.7215102910995483,0.2217717319726944,0.5353413820266724,0.8373541235923767,0.6855285167694092,0.3008482754230499,0.4013358056545257,0.941788137,0.7714778780937195,0.6402422785758972,0.7330698370933533,0.1977928727865219,0.4467360973358154,0.4886493682861328,0.3998116850852966,0.7476217150688171,alienation_and_disconnect,loneliness,sadness,0.0195,16.66,0.290290356,0.3283616304397583,0.2874703705310821,0.032130085,3.62,1.4242,-0.013713465,0.1019066048306591,0.018958668,-0.083710353,0.008655662,-0.006362203,216167,6300,20191018,246,ずっと真夜中でいいのに。 ZUTOMAYO,2019,10,3,2388,10452.9,0.00866,0.000252,0.99,7,1,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
Kan Saete Kuyashiiwa.mp3,2019,236.03,152,A,minor,A minor,0.3180891573429107,2705.683240816719,5923.844553154206,21.902363283250047,2816.050790414938,0.1224738590598868,0.588128901,5.567864418029785,78.60607147216797,78.12438201904297,23.050731658935547,6.123911380767822,16.395126342773438,26.78045654296875,14.616397857666016,9.884505272,10.118618965148926,2.1966586112976074,11.102062225341797,7.342670917510986,8.888635635375977,0.415197879,10.319283485412598,4.071523189544678,9.155469894,-1.150266528,7.920464992523193,-5.076527119,7.951735973358154,3.362091541290283,8.286251068115234,-2.484444857,7.464574337005615,0.7208003997802734,0.5573225617408752,0.646563709,0.5114198327064514,0.5516740679740906,0.5713908672332764,0.510378361,0.5745024681091309,0.5244834423065186,0.6671239733695984,0.5724973678588867,0.5306174159049988,-0.6949,negative,29715864,ずっと真夜中でいいのに。『勘冴えて悔しいわ』MV (ZUTOMAYO - Kansaete Kuyashiiwa),https://www.youtube.com/watch?v=4QePrv24TBU,0.6296607255935669,0.5603729486465454,0.5912513136863708,0.5119605660438538,0.6349961161613464,0.1167183816432952,0.469033808,0.5191556811332703,0.4672102034091949,0.378459096,0.4443236291408539,0.5792813897132874,0.8389438390731812,0.7520638108253479,0.575588048,0.064535484,0.1015003472566604,0.456409752,0.2924184501171112,0.3753629624843597,identity_and_self,loneliness,sadness,0.0146,9.91,0.3101258277893066,0.3071097135543823,0.3370263278484344,0.031533524,2.33,1.3462,0.061627317,0.08926769,-0.047737285,0.006538904,-0.006587743,0.015712396,327658,10000,20210330,243,ずっと真夜中でいいのに。 ZUTOMAYO,2021,3,1,1859,15984.9,0.011026,0.000337,1.087,9,1,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
Kani Shabu Funk.mp3,2026,114.99,123.05,C,major,C major,0.2334378957748413,2199.430609396923,4834.069328839529,22.82571782558891,2476.211007193955,0.093993303,0.7407444499437839,-53.21420288,85.51612854003906,95.29215240478516,25.170698165893555,-0.74569279,18.62240028381348,18.676118850708008,13.730510711669922,3.573925256729126,12.52811336517334,8.718487739562988,11.27725601196289,-0.044178709,8.969417572021484,1.8805129528045648,9.888134002685549,-2.065260172,8.781787872314453,-0.219578594,8.613309860229492,-7.574659824,8.679420471191406,0.5623361468315125,7.852737426757812,-3.491866827,8.101732254,0.5689388513565063,0.4293151497840881,0.5737475752830505,0.4257875680923462,0.4798535406589508,0.4911023378372192,0.427303284,0.6264358758926392,0.4162124991416931,0.5265364050865173,0.396498293,0.4222890436649322,0.2718,positive,57224,ずっと真夜中でいいのに。『蟹しゃぶふぁんく』 (ZUTOMAYO - Kani Shabu Funk)（Audio Track）,https://www.youtube.com/watch?v=UHQJ1b-zYDM,0.2237372547388076,0.3056778907775879,0.053502146,0.2481240481138229,0.4787116646766662,0.2569994926452636,0.2150621265172958,0.8040214776992798,0.1774898767471313,0.814385176,0.413240373,0.070880488,0.1962094008922577,0.1642481684684753,0.2938729226589203,0.1869841665029525,0.1648522913455963,0.09628012,0.2393938153982162,0.097820468,hope_and_yearning,defiance_and_rebellion,fear,0.0202,14.76,0.1845062971115112,0.247322217,0.2684851884841919,0.018266704,3.91,1.4818,0.1027993145730222,0.109255546,0.009028351,0.031695012,0.000347147,0.002250236,1259,41,20260324,115,ずっと真夜中でいいのに。 ZUTOMAYO,2026,3,1,39,1467.3,0.022001,0.000716,1.455,0,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
Kira Killer.mp3,2022,253.07,143.55,G,minor,G minor,0.3078937828540802,2494.6897034221984,5085.148206060332,21.63079354987739,2490.287996,0.1277766936043444,0.6478870718100898,6.012911319732666,83.23203278,87.78891754,26.16309166,-14.28843689,24.616270065307617,23.299596786499023,15.563846588134766,3.030634641647339,12.985906600952148,3.9894323348999023,10.879380226135254,4.270534992218018,8.818653106689453,-1.66027379,9.466902733,1.880147814750672,8.645353317260742,2.069279193878174,7.846957683563232,-4.523890495,7.659894466400146,-0.574457049,7.8696746826171875,-3.72743988,7.699073791503906,0.526474655,0.5260384678840637,0.6419053673744202,0.5963013172149658,0.5548708438873291,0.6024829745292664,0.5113281011581421,0.6112920641899109,0.4619855582714081,0.4939894378185272,0.5335522890090942,0.4410898089408874,-0.2034,negative,24141769,ずっと真夜中でいいのに。『綺羅キラー (feat. Mori Calliope)』MV (ZUTOMAYO – Kira Killer),https://www.youtube.com/watch?v=e5LaKxJVeVI,0.4784374237060547,0.6900371313095093,0.3861664533615112,0.06319268,0.1727990955114364,0.03725677,0.2637416124343872,0.3546844720840454,0.5726630091667175,0.07120274,0.6698797941207886,0.5689996480941772,0.844473124,0.6751223206520081,0.3504213988780975,0.011755131,0.024399832,0.7847317457199097,0.2004011571407318,0.633353591,regret,nostalgia_and_memory,sadness,0.0133,11.24,0.3174697160720825,0.3037265837192535,0.3024851381778717,0.031064417,2.61,1.3441,0.012927685,0.08096848,0.01666235,-0.054477005,0.00530417,-0.012755632,260070,4200,20221215,253,ずっと真夜中でいいのに。 ZUTOMAYO,2022,12,0,1234,19563.8,0.010773,0.000174,0.953,7,1,"zutomayo,_mori_calliope",FALSE,TRUE,FALSE,FALSE,FALSE
Konnakoto Soudou.mp3,2019,297.87,172.27,D#,major,D# major,0.2704998254776001,2409.8278698295853,5223.578427506772,22.648362446654524,2626.8381256504927,0.1002111533805246,0.6334919002721704,-63.03642654,105.83289337158205,82.64833832,30.694976806640625,7.435728549957275,21.344614028930664,27.146106719970703,16.742746353149414,11.457351684570312,13.125829696655272,7.923614978790283,13.712335586547852,8.787705421447754,11.528155326843262,2.1509244441986084,11.87158489227295,2.8794217109680176,10.63235569000244,-2.35103631,10.292489051818848,-4.754785061,10.172876358032228,2.043885946273804,10.214113235473633,-1.544367433,9.379504203796388,0.5316852927207947,0.5436009168624878,0.5471749305725098,0.6071622371673584,0.5611479878425598,0.5309058427810669,0.4957517385482788,0.5148354172706604,0.506993294,0.4497227370738983,0.520720899,0.4662854075431824,-0.6011,negative,12234231,ずっと真夜中でいいのに。『こんなこと騒動』MV,https://www.youtube.com/watch?v=mlA-Z7zSLHU,0.253445029,0.8031641244888306,0.5773762464523315,0.289170891,0.7131320834159851,0.2206781506538391,0.3539305031299591,0.3786888122558594,0.6374822854995728,0.617281973,0.4775541126728058,0.1418154090642929,0.7345005869865417,0.4512055814266205,0.3729618489742279,0.23265864,0.2988493144512176,0.2595909535884857,0.4050956666469574,0.2879039049148559,regret,identity_and_self,sadness,0.0125,21.29,0.2676467597484588,0.2894923388957977,0.2543641626834869,0.022332797,3.71,1.5168,-0.036009658,0.029490755,0.001751768,0.021393662,0.00350227,0.003043777,140932,4400,20191008,301,ずっと真夜中でいいのに。 ZUTOMAYO,2019,10,3,2398,5101.8,0.011519,0.00036,0.95,3,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
KUZURI.mp3,2024,235.47,123.05,D,major,D major,0.246931255,2384.200060840428,5094.065548,22.37237040618037,2534.1778173671914,0.1112919167858199,0.6773191061958865,-40.11415482,103.40589904785156,88.50350952148438,29.94233131408692,4.024591445922852,16.855979919433594,27.237075805664062,15.21329116821289,-0.168281361,11.637335777282717,4.657897472381592,10.346179008483888,4.212649822235107,8.683052062988281,-3.473907709,9.347591400146484,1.4506200551986694,8.677532196044922,-0.039888643,8.600862503051758,-8.157040596,8.358742713928223,-0.42253527,9.095599174499512,-1.625663877,7.970812797546387,0.3215599656105041,0.4330534636974334,0.6042717695236206,0.3814210295677185,0.5401571989059448,0.4619484543800354,0.6372880935668945,0.5396663546562195,0.3544767796993255,0.5035274624824524,0.3922203779220581,0.5272071957588196,-0.5845,negative,6067840,ずっと真夜中でいいのに。『クズリ念』MV (ZUTOMAYO – KUZURI),https://www.youtube.com/watch?v=ut889MZ9yNo,0.8538823127746582,0.6294329762458801,0.6192985773086548,0.3916676938533783,0.5792814493179321,0.027480692,0.4895035028457641,0.6569609045982361,0.5506073832511902,0.1648523062467575,0.2400389611721038,0.8406845331192017,0.7466935515403748,0.8136088848114014,0.5821347236633301,0.01384861,0.050705362,0.7718435525894165,0.2652049362659454,0.8090875148773193,loneliness,alienation_and_disconnect,anger,0.0173,14.15,0.2360208481550216,0.2619140744209289,0.2428600490093231,0.033859629,3.17,1.3084,0.1634862480512807,-0.066209354,0.020992311,-0.118954153,-0.003192801,-0.013588969,58605,1400,20241023,238,ずっと真夜中でいいのに。 ZUTOMAYO,2024,10,3,556,10913.4,0.009658,0.000231,1.029,2,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
lowmotion algae.mp3,2026,640.85,123.05,C,major,C major,0.2174586206674575,1912.011348633008,4017.305762,22.39205497477439,2172.126069561642,0.085623585,0.7373931417486533,-80.12769318,106.88504028320312,111.52327728271484,36.30421829223633,-9.545949936,19.408456802368164,23.025043487548828,16.587451934814453,4.400115489959717,11.522563934326172,11.22583008,10.58176326751709,0.5907106995582581,9.220703125,2.7058701515197754,9.634360313415527,1.7578535079956057,8.327138900756836,-2.353394985,8.635903358459473,-4.242733479,8.775708198547363,-1.138778567,9.052969932556152,-0.575165868,8.512501717,0.6896738409996033,0.4168407022953033,0.4823444485664367,0.3626802265644073,0.5062414407730103,0.434839517,0.4263327717781067,0.606288731,0.4745225012302398,0.528750479,0.3966587483882904,0.4580673575401306,-0.2633,negative,73664,ずっと真夜中でいいのに。『lowmotion algae』 (ZUTOMAYO - lowmotion algae)（Audio Track）,https://www.youtube.com/watch?v=RHu1YnJvdDU,0.5084220767021179,0.4104903638362884,0.5055539608001709,0.3328116536140442,0.6993250250816345,0.2230688333511352,0.5198260545730591,0.6410573720932007,0.3401011228561401,0.7668179273605347,0.795181394,0.4318836331367492,0.093677998,0.3034479022026062,0.1399831771850586,0.4865145087242126,0.5761377215385437,0.2621329128742218,0.4620179235935211,0.4408604204654693,nostalgia_and_memory,hope_and_yearning,tenderness,0.0173,25.13,0.1627713292837143,0.2287603020668029,0.2608442902565002,0.013477909,1.63,1.1383,0.1141120273737505,0.1088932990983362,0.016125925,0.1116383412278989,0.006826899,0.019842207,2285,203,20260324,641,ずっと真夜中でいいのに。 ZUTOMAYO,2026,3,1,40,1841.6,0.031019,0.002756,1.603,0,0,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
MIRROR TUNE.mp3,2022,249.27,129.2,D,minor,D minor,0.2919933795928955,2576.3321804346674,5350.041248759286,22.39174889037907,2572.0126779352736,0.1308215350223547,0.5984121800986413,-11.49264336,81.41861724853516,81.25247192382812,26.313316345214844,-3.904652357,20.45984649658203,24.27457618713379,15.630562782287598,0.5507170557975769,12.098337173461914,6.733915806,11.875861167907717,1.744868278503418,9.530273438,2.066728115081787,10.12392807006836,0.5334869623184204,9.492050170898438,-0.803955615,8.994364738464355,-3.878204107,9.164136887,-1.640755057,9.732187271118164,-0.577720761,9.020798683166504,0.5777466297149658,0.5710486769676208,0.6681939959526062,0.534389853,0.5054741501808167,0.6156299114227295,0.5659069418907166,0.6048818230628967,0.5337739586830139,0.5481317043304443,0.6098430156707764,0.5038779377937317,0.0192,positive,23687104,ずっと真夜中でいいのに。『ミラーチューン』MV (ZUTOMAYO - MIRROR TUNE),https://www.youtube.com/watch?v=BVvvUGP0MFw,0.6685827374458313,0.6683663725852966,0.6115559935569763,0.8361201286315918,0.8201276063919067,0.8050581216812134,0.6794179677963257,0.7134815454483032,0.7178996801376343,0.7488548159599304,0.5834407210350037,0.5377090573310852,0.4276357293128967,0.6357031464576721,0.7565037608146667,0.6364943385124207,0.621985912,0.5704509615898132,0.6997419595718384,0.42996785,dreams_and_fantasy,identity_and_self,fear,0.0143,10.49,0.2552536427974701,0.3155274391174316,0.3051916062831878,0.029328896,3.47,1.5249,-0.003694897,0.085634472,0.008952648,-0.069926675,-0.000990209,-0.014926786,222364,4000,20220407,254,ずっと真夜中でいいのに。 ZUTOMAYO,2022,4,1,1487,15929.5,0.009388,0.000169,1.196,2,1,zutomayo,FALSE,TRUE,FALSE,FALSE,FALSE
