filename,duration_sec,bpm,rms_energy,spectral_centroid,spectral_contrast,zero_crossing_rate,harmonic_ratio,mfcc_1_mean,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,tempo_stability,dynamic_range_db,spectral_flatness,onset_rate,onset_strength_mean,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,energy_buildup,artist_canonical,artist,Zuttomayo,artist_yorushika,EVE
Mrs. GREEN APPLE - 狭心症 ⧸ Kyoshinsho [Audio].mp3,410.38,68,0.2646254003047943,2334.161642811821,22.17557477939146,0.088817569,0.8067904771494149,-71.56529236,82.65679931640625,37.21952438354492,4.481329441070557,21.49987030029297,27.14629173278809,0.0497,24.1,0.026556192,1.26,1.3483,-0.09622395,-0.03679895,0.012204913,-0.063740546,0.006964382,0.004517335,1.762,radwimps,TRUE,FALSE,FALSE,FALSE
Telepath.mp3,293.69,69.84,0.15328586101531982,2095.999905,24.428278495280132,0.080879742,0.7790972697987057,-159.0355682,98.45877075195312,47.16899490356445,7.777929782867432,21.833173751831055,19.80657958984375,0.0376,25.43,0.019167600199580193,5,1.6386,0.057930118,-0.286635362,0.014470401063839811,0.045006042873756785,0.002233215,-0.019499387,0.701,yorushika,FALSE,FALSE,TRUE,FALSE
ずっと真夜中でいいのに。『過眠』 (ZUTOMAYO - Hypersomnia)（Audio Track）.mp3,253.03,71.78,0.162682369,1967.698934,23.25861683425472,0.084416068,0.8444889332549944,-146.3209534,105.40099334716795,46.25539016723633,2.245795965194702,20.49143409729004,22.60792732238769,0.0468,28.46,0.020541355,2.22,1.1925,0.034251992,0.071055933,0.1310611766625219,0.039254285,-0.017743111,-0.016426956,1.129,ずっと真夜中でいいのに。_zutomayo,FALSE,TRUE,FALSE,FALSE
Koito Uta.mp3,293.65,71.78,0.2653925120830536,2605.4325495084736,22.861862169698743,0.1189696281109156,0.7885817654833103,-18.59547043,76.19122314453125,27.085250854492188,-11.63820457,24.32868003845215,24.12264060974121,0.0271,14.97,0.029488981,0.81,1.1635,0.1808801730923001,0.071347759,0.066090132,0.019588251,0.003301229,0.002626074,0.971,mrs_green_apple,TRUE,FALSE,FALSE,FALSE
"ZUTOMAYO(계속 한밤중이면 좋을텐데) - Kimigaite Mizuninaru(君がいて水になる, 당신이 있어 헛된 것이 돼) ⧸ 한글자막(KOREAN lyrics).mp3",290.03,73.83,0.280177355,1952.619984225976,23.823881393564594,0.080774251,0.8420648615742962,-72.35747528,99.87142944335938,37.56969833374024,3.699200391769409,22.54189682006836,31.81443977355957,0.0432,16.71,0.03265553,2.93,1.3375,-0.240734747,0.1310214624570947,-0.050780331,0.2024376431664808,-0.028590926,0.009686065,0.991,헤헤뮤직,FALSE,TRUE,FALSE,FALSE
Dokokade Hi Wa Noboru.mp3,301.16,73.83,0.2906971275806427,2155.593417338217,23.29292846832169,0.092811762,0.8027862505078126,-37.20143509,99.68080902,33.10911560058594,-3.356284142,17.912792205810547,28.133277893066406,0.0183,17.19,0.020130385,2.53,1.1837,0.1306747483151467,-0.154680519,-0.101469287,0.03808851,0.004600875,0.017710861,0.951,mrs_green_apple,TRUE,FALSE,FALSE,FALSE
Tenbyouno Uta.mp3,307.07,76,0.2620037198066711,2062.030270172974,23.836386205747697,0.087813792,0.8132638306045836,-67.03255463,107.95387268066406,41.85109711,0.2654382288455963,20.981800079345703,16.289003372192383,0.0252,20.07,0.016513243,2.36,1.0705,0.1466317107657145,0.1691250201681366,0.010683539,0.1443937430475153,0.008284185,0.010880312,1.399,"mrs_green_apple,_sonoko_inoue",TRUE,FALSE,FALSE,FALSE
Viking.mp3,184.27,76,0.3387185335159302,2620.7431559598976,22.24424860506729,0.1139893070344002,0.7976823999033984,7.606256008148193,74.69602203,21.83102226257324,-0.128304511,15.678712844848633,29.22614097595215,0.012,11.81,0.032057002,1.54,1.2154,-0.082264893,-0.036975461,0.022259219,-0.097526276,-0.000234104,0.001225666,1.123,mrs_green_apple,TRUE,FALSE,FALSE,FALSE
The First Night.mp3,262.12,76,0.14752508699893951,1604.7870321521275,24.55400539402323,0.056087032,0.9153053768223893,-198.9129181,122.33893585205078,45.110816955566406,12.26146411895752,22.113908767700195,17.61602020263672,0.0312,27.37,0.010318481363356113,2.73,1.3761,-0.137160441,0.14314290291631135,-0.158401291,-0.176317149,0.046418965782106116,-0.068775145,1.639,yorushika,FALSE,FALSE,TRUE,FALSE
ずっと真夜中でいいのに。『蹴っ飛ばした毛布』MV.mp3,265.34,78.3,0.2339221388101577,2241.8404333451526,23.343137395108933,0.097977555,0.6833942864141714,-75.03535461,92.10935974121094,34.90462112426758,7.7105889320373535,22.03638268,22.815717697143555,0.0283,17.65,0.017811622,2.91,1.408,0.2014556053915067,-1.34E-05,0.0600588,0.067499604,0.016325543,-0.018734173,1.476,ずっと真夜中でいいのに。_zutomayo,FALSE,TRUE,FALSE,FALSE
