filename,duration_sec,bpm,rms_energy,spectral_centroid,spectral_contrast,zero_crossing_rate,harmonic_ratio,mfcc_1_mean,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,lyrical_sentiment,tempo_stability,dynamic_range_db,energy_start,energy_mid,energy_end,spectral_flatness,onset_rate,onset_strength_mean,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,energy_buildup,artist_canonical,artist,Zuttomayo,artist_yorushika,chord_change_rate,chord_diversity,unique_chords,major_chord_ratio,minor_chord_ratio,tonic_ratio,dominant_ratio,subdominant_ratio,primary_function_ratio,chord_entropy,band_sub_bass_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_high_mid_ratio,band_high_ratio,band_brilliance_ratio,bass_transient_ratio,inst_acoustic_guitar,inst_electric_guitar,inst_steel_guitar_slide_guitar,inst_bass_guitar,inst_banjo,inst_mandolin,inst_plucked_string_instrument,inst_violin_fiddle,inst_cello,inst_double_bass,inst_bowed_string_instrument,inst_pizzicato,inst_piano,inst_electric_piano,inst_organ,inst_synthesizer,inst_harpsichord,inst_drum_kit,inst_drum_machine,inst_bass_drum,inst_snare_drum,inst_hi-hat,inst_cymbal,inst_tabla,inst_saxophone,inst_trumpet,inst_trombone,inst_flute,inst_brass_instrument,inst_wind_instrument_woodwind_instrument,inst_singing,inst_male_singing,inst_female_singing,inst_choir,inst_rapping,inst_drum,inst_music
言って。.mp3,242.18,184.57,0.2497113347053527,2625.9213397234007,22.057852496519992,0.1234298223274209,0.6986642824882769,-45.19625473,72.24131012,29.66147232055664,-2.134249449,17.912683486938477,37.99422836303711,0.1343,0.0131,26.53,0.2677130103111267,0.2385386973619461,0.2428862601518631,0.041124526,2.7,1.3894,0.071905843,0.063238001,-0.018809231,0.047082285,0.005481867,0.002735963,0.907,yorushika,FALSE,FALSE,TRUE,2.535,1,24,0.583,0.417,0.172,0.095,0.202,0.469,4.121,0.046879135,0.4848026037216186,0.1355257183313369,0.190920278,0.098758526,0.028021783,0.014906954,5.337678432,0.0012,0.0022,0.0001,0.0018,0,0,0.0047,0.0001,0.0001,0,0.0002,0.0001,0.0005,0.0003,0,0.0003,0.0001,0.0033,0.0001,0.0012,0.0009,0.0004,0.0006,0,0,0,0,0,0,0,0.0072,0.0001,0.0005,0,0,0.003,0.751
Play Sick.mp3,233.96,184.57,0.2409483045339584,2110.835522,22.79251652540693,0.085570804,0.5874455210920361,-95.8842392,96.46060943603516,38.865665435791016,8.440248489379883,23.530498504638672,28.50145149230957,0.165,0.0127,19.46,0.2264347225427627,0.2220513075590133,0.2743389904499054,0.019651711,3.68,1.8974,-0.112569133,-0.016724785,-0.072794692,0.034542515,0.000731232,-0.00405396,1.212,yorushika,FALSE,FALSE,TRUE,2.692,1,24,0.571,0.429,0.218,0.055,0.077,0.35,3.833,0.1401944756507873,0.5115540027618408,0.162016675,0.1498937606811523,0.022544364,0.008070537,0.005522859,6.508194446563721,0.0017,0.0015,0.0018,0.0025,0,0.0002,0.006,0.0002,0.0001,0.0002,0.0004,0.0003,0.001,0.0008,0.0003,0.0004,0,0.0053,0.0005,0.0034,0.0018,0.0005,0.0007,0,0.0009,0.0003,0.0001,0,0.0005,0.0002,0.0056,0.0001,0.0001,0,0.0003,0.0056,0.7972
雲と幽霊.mp3,315.48,172.27,0.2076958566904068,2165.2120974661034,23.51941377512401,0.07707703,0.8069458033872121,-106.8982391,92.80541992,35.73952102661133,11.995115280151367,22.533615112304688,34.418601989746094,-0.2073,0.0121,19.4,0.2132185101509094,0.2289768755435943,0.1808921545743942,0.019787861,3.2,1.4376,0.185313308,-0.129926595,-0.154397795,0.029764292,0.01944797,0.00682453,0.848,yorushika,FALSE,FALSE,TRUE,1.774,1,24,0.603,0.397,0.562,0.113,0.079,0.754,2.972,0.04863447,0.5629143118858337,0.2236947119235992,0.1243548691272735,0.025124343,0.008883607,0.006148665,4.981506348,0.0027,0.0023,0.0008,0.0021,0,0.0001,0.0082,0.0001,0.0001,0.0001,0.0002,0.0002,0.0004,0.0003,0,0.0002,0,0.0071,0.0002,0.0044,0.0039,0.0015,0.0018,0,0.0001,0,0,0,0,0.0001,0.0073,0.0002,0.0003,0.0001,0.0001,0.0077,0.7206
ずっと真夜中でいいのに。『こんなこと騒動』MV.mp3,300.52,172.27,0.2665288150310516,2317.4734414060017,22.585225817631308,0.095666569,0.6354780333467754,-69.25526428,84.47415924072266,31.31403923034668,6.457697868347168,21.263715744018555,27.34674835205078,-0.4704,0.0121,22.36,0.264420599,0.2869408130645752,0.2482292801141739,0.027403591,3.54,1.4995,-0.035506249,0.029143859,0.002235444,0.021424686,0.003834702,0.00317696,0.939,ずっと真夜中でいいのに。_zutomayo,FALSE,TRUE,FALSE,3.394,1,24,0.533,0.467,0.117,0.132,0.1,0.349,4.409,0.044730037,0.5473634004592896,0.1184814572334289,0.1905572414398193,0.074298173,0.013970861,0.009063952,5.207167625427246,0.0006,0.0022,0.0001,0.0019,0,0.0001,0.0033,0.0001,0.0001,0.0001,0.0003,0.0003,0.0008,0.0005,0,0.0004,0.0003,0.0031,0.0004,0.0015,0.0009,0.0004,0.0006,0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0225,0.0002,0.0024,0.0002,0.0001,0.0029,0.7457
Hikarinouta.mp3,275.73,172.27,0.2062094360589981,1883.681482409973,23.86266044,0.079003495,0.8645335268662407,-109.8430176,107.0953598022461,36.616153717041016,-3.185111523,21.99639320373535,27.87661361694336,-0.0876,0.0123,28.81,0.1147675886750221,0.2759776711463928,0.2278775572776794,0.018674469,2.27,1.114,0.041340631,0.2198052314572308,-0.155341846,0.005570451,-0.036172996,-0.009717646,1.986,mrs_green_apple,TRUE,FALSE,FALSE,1.472,0.917,22,0.708,0.292,0.582,0.113,0.05,0.745,2.473,0.064321488,0.3665128946304321,0.2327883839607238,0.2620216310024261,0.057411402,0.00841314,0.007546445,4.680138111114502,0.0003,0.0001,0.0003,0.0001,0.0005,0.0006,0.001,0.0072,0.004,0.002,0.0067,0.02,0.0117,0.009,0.0003,0.0002,0.0009,0.0016,0,0.001,0.0008,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0003,0.0001,0.0141,0.0005,0.0004,0.0001,0.0001,0.0017,0.7214
Party.mp3,259.37,172.27,0.3086437880992889,2426.6770569203964,22.396724620558707,0.1207234849862366,0.7501956225188313,9.279323578,88.65795135498047,28.36353111,-15.24852848,17.384441375732422,27.17970085144043,-0.2221,0.0119,12.75,0.2873418033123016,0.3177594244480133,0.3208235800266266,0.028383521,1.26,1.1741,0.086636636,0.051997291,0.1048194492915992,-0.030084487,0.007983216,0.004873303,1.117,mrs_green_apple,TRUE,FALSE,FALSE,2.131,1,24,0.646,0.354,0.319,0.107,0.158,0.584,3.737,0.079933003,0.273020327,0.1431998163461685,0.3618887364864349,0.1043539047241211,0.025181361,0.012102462,3.2917134761810303,0.0003,0.0004,0.0003,0.0005,0.0002,0.0001,0.0017,0.0014,0.0007,0.0004,0.0011,0.0003,0.0022,0.001,0.0006,0.0002,0.0025,0.0013,0,0.0005,0.0005,0.0002,0.0003,0.0001,0.0003,0.0002,0.0002,0.0002,0.0004,0.0008,0.0201,0.0006,0.0003,0.0001,0.0001,0.0016,0.7147
Superficial Me.mp3,247.81,172.27,0.2722470760345459,2038.1224635713472,22.61020379246873,0.095054905,0.7153343169078568,-49.16320419,104.13029479980467,32.41968918,-7.649468899,18.67033195495605,32.597049713134766,0.4508,0.0119,14.54,0.2435230463743209,0.311409444,0.2618145942687988,0.022614272,1.91,1.3015,0.1054748333923045,0.076974805,-0.007449146,0.1062409090498006,0.006090633,0.002355371,1.075,zutomayo,FALSE,TRUE,FALSE,2.921,1,24,0.617,0.383,0.304,0.058,0.182,0.545,3.474,0.047067784,0.3374175429344177,0.1677089482545852,0.3669955134391784,0.058209259,0.014703142,0.007559191,4.734562397003174,0.0005,0.0014,0.0003,0.0016,0,0,0.0034,0.0002,0.0001,0.0001,0.0004,0.0001,0.0004,0.0002,0.0001,0.0001,0,0.0255,0.0001,0.0183,0.0196,0.0055,0.0067,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0249,0.0002,0.0011,0.0001,0.0001,0.0235,0.6363
Chinokate.mp3,247.67,172.27,0.2063718438148498,2118.660000132575,23.737862688290384,0.07467302,0.7526364685408288,-129.7588654,90.69966125,35.13426208496094,12.402910232543944,21.82131767272949,21.929180145263672,-0.3189,0.0143,38.29,0.1930680572986602,0.1907118856906891,0.2353193014860153,0.020453358,2.58,1.445,-0.153624799,-0.07120469,-0.096668364,0.034069237,0.006310606,-0.012828463,1.219,yorushika,FALSE,FALSE,TRUE,2.22,0.958,23,0.688,0.312,0.423,0.214,0.081,0.717,3.334,0.1180289760231971,0.4029451012611389,0.1993769407272339,0.2487816214561462,0.018318109,0.006083055,0.006266891,6.127366065979004,0.003,0.0008,0.0007,0.0013,0,0.0001,0.0037,0.0001,0.0001,0.0001,0.0002,0.0002,0.0034,0.0035,0.0001,0.0018,0.0004,0.0012,0.0004,0.0007,0.0005,0.0002,0.0003,0,0.0001,0,0,0,0.0001,0.0001,0.0165,0.0001,0.0005,0.0001,0,0.0011,0.8182
Hitchcock (Re-Recording).mp3,225.14,172.27,0.2452113032341003,2406.711298244537,22.54781318311632,0.098886546,0.6760046821427329,-44.67463684,84.50939178466797,28.46216965,1.7303025722503662,19.18705940246582,22.56252861022949,0.0636,0.0136,15.95,0.2190377116203308,0.2660419344902038,0.2505525350570678,0.034312848,3.11,1.3564,-0.15217307,-0.019942767,-0.071811755,0.010072605,-0.003150601,-0.005225166,1.144,yorushika,FALSE,FALSE,TRUE,2.454,0.958,23,0.674,0.326,0.171,0.162,0.308,0.641,3.429,0.1926153302192688,0.3500470519065857,0.1540658771991729,0.2333754599094391,0.044839978,0.014642111,0.010188195,6.143791675567627,0.0009,0.0024,0.0001,0.0014,0.0001,0.0002,0.0052,0.0002,0.0001,0.0001,0.0003,0.0002,0.001,0.0006,0.0001,0.0004,0.0002,0.0049,0.0004,0.0022,0.0015,0.0012,0.0017,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0136,0.0002,0.0008,0.0001,0,0.0039,0.6972
ヒッチコック.mp3,222.81,172.27,0.2589480876922607,2613.324132546752,22.785958013656145,0.1190284770347019,0.7187890569048385,-25.74585915,76.53483581542969,26.22093963623047,-6.527930737,21.33233070373535,34.69098281860352,-0.1076,0.0148,13.61,0.2324127256870269,0.2714786529541015,0.2729441225528717,0.033958916,3.46,1.3281,-0.180665147,-0.031949439,-0.101152531,0.032124112,0.009195121,-0.010429275,1.174,yorushika,FALSE,FALSE,TRUE,2.517,1,24,0.647,0.352,0.362,0.148,0.02,0.531,3.5,0.028266391,0.3115357160568237,0.2364151030778885,0.2977973222732544,0.085969523,0.028839272,0.011048303,5.779116630554199,0.0011,0.0026,0.0001,0.0013,0,0,0.0048,0.0001,0.0001,0,0.0002,0.0001,0.0002,0.0001,0,0.0001,0.0001,0.0073,0.0001,0.0023,0.002,0.0009,0.0017,0,0,0,0,0,0,0,0.0166,0.0001,0.0015,0.0001,0,0.0057,0.7539
Smile Of Dreamer.mp3,210.84,172.27,0.3432488739490509,2685.01491,21.31420217303892,0.1254298337531659,0.7121470732860089,27.915760040283203,74.70457458496094,20.48960876464844,-16.01928139,23.049354553222656,21.753400802612305,-0.0111,0.0104,8.38,0.3377609550952911,0.3499955832958221,0.3419900834560394,0.038279649,1.98,1.3217,0.076201454,-0.018893762,-0.012658229,-0.088172096,0.000417048,-0.00080037,1.013,mrs_green_apple,TRUE,FALSE,FALSE,2.398,1,24,0.683,0.317,0.434,0.061,0.131,0.626,3.329,0.2017047554254531,0.2657818496227264,0.1051908731460571,0.3141314387321472,0.084206119,0.016838785,0.01184638,4.458811283111572,0.0005,0.0042,0,0.0007,0,0,0.0046,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0001,0,0.0001,0,0.0042,0.0002,0.003,0.0022,0.0006,0.0007,0,0,0,0,0,0.0001,0,0.0086,0.0002,0.0001,0,0.0006,0.0051,0.7589
Kujiranouta.mp3,362.77,161.5,0.3554088771343231,2392.226059,22.687140836223094,0.1178990455389144,0.827232306,20.86366271972656,84.63155364990234,23.616924285888672,-15.3272047,16.861478805541992,32.728973388671875,-0.7045,0.0122,12.84,0.3789924681186676,0.3896250128746032,0.2976091504096985,0.026519837,0.49,1.0215,0.1373333880307302,0.09781587,0.1550803047191354,-0.066117687,0.01322738,-0.010267208,0.785,mrs_green_apple,TRUE,FALSE,FALSE,1.486,1,24,0.768,0.232,0.485,0.121,0.071,0.676,3.124,0.015560641,0.3849724531173706,0.1279304921627044,0.3243027031421661,0.1149199157953262,0.022219734,0.009725374,4.008283615112305,0.0005,0.001,0.0005,0.0007,0,0,0.0031,0.0006,0.0007,0.0007,0.0007,0.0003,0.0053,0.003,0.0001,0.0003,0.0002,0.0009,0,0.0004,0.0003,0.0002,0.0002,0,0.0001,0.0002,0.0002,0.0001,0.0004,0.0001,0.0141,0.0002,0.0002,0.0001,0,0.001,0.7348
